terminal,scheduledTime,airlineName,iataCode,flightNumber,iataNumber,scheduledDay
4s,04:10:00.000,american airlines,aa,8800,aa8800,2022-07-01
4s,04:10:00.000,qatar airways,qr,6560,qr6560,2022-07-01
4s,04:10:00.000,british airways,ba,7107,ba7107,2022-07-01
4s,04:10:00.000,vueling,vy,5272,vy5272,2022-07-01
4s,04:10:00.000,iberia,ib,3329,ib3329,2022-07-01
No se ha encontrado la terminal de llegada.,04:45:00.000,swiftair,wt,119,wt119,2022-07-01
2,04:50:00.000,air europa,ux,1116,ux1116,2022-07-01
2,04:50:00.000,air europa,ux,1424,ux1424,2022-07-01
1,05:00:00.000,air europa,ux,40,ux40,2022-07-01
1,05:00:00.000,etihad airways,ey,4399,ey4399,2022-07-01
1,05:00:00.000,air europa,ux,58,ux58,2022-07-01
1,05:10:00.000,aerolineas argentinas,ar,7358,ar7358,2022-07-01
1,05:10:00.000,etihad airways,ey,4396,ey4396,2022-07-01
1,05:10:00.000,air europa,ux,42,ux42,2022-07-01
1,05:10:00.000,air europa,ux,46,ux46,2022-07-01
1,05:10:00.000,etihad airways,ey,4386,ey4386,2022-07-01
1,05:10:00.000,air europa,ux,176,ux176,2022-07-01
2,05:10:00.000,air europa,ux,26,ux26,2022-07-01
4,05:15:00.000,taag,dt,680,dt680,2022-07-01
4s,05:45:00.000,british airways,ba,4246,ba4246,2022-07-01
4s,05:45:00.000,el al,ly,9200,ly9200,2022-07-01
4s,05:45:00.000,latam airlines,la,7107,la7107,2022-07-01
4s,05:45:00.000,cathay pacific,cx,1921,cx1921,2022-07-01
4s,05:45:00.000,qatar airways,qr,5087,qr5087,2022-07-01
4s,05:45:00.000,jal,jl,6993,jl6993,2022-07-01
4s,05:45:00.000,iberia,ib,6824,ib6824,2022-07-01
No se ha encontrado la terminal de llegada.,05:45:00.000,swiftair,wt,117,wt117,2022-07-01
4s,06:00:00.000,latam airlines,la,5410,la5410,2022-07-01
4s,06:00:00.000,british airways,ba,4250,ba4250,2022-07-01
4s,06:00:00.000,el al,ly,9210,ly9210,2022-07-01
4s,06:00:00.000,cathay pacific,cx,1924,cx1924,2022-07-01
4s,06:00:00.000,qatar airways,qr,5355,qr5355,2022-07-01
4s,06:00:00.000,jal,jl,6995,jl6995,2022-07-01
4s,06:00:00.000,iberia,ib,6830,ib6830,2022-07-01
4s,06:00:00.000,british airways,ba,4274,ba4274,2022-07-01
4s,06:00:00.000,finnair,ay,5551,ay5551,2022-07-01
4s,06:00:00.000,qatar airways,qr,5067,qr5067,2022-07-01
4s,06:00:00.000,el al,ly,9230,ly9230,2022-07-01
4s,06:00:00.000,iberia,ib,6400,ib6400,2022-07-01
4s,06:05:00.000,british airways,ba,4212,ba4212,2022-07-01
4s,06:05:00.000,qatar airways,qr,5059,qr5059,2022-07-01
4s,06:05:00.000,jal,jl,6991,jl6991,2022-07-01
4s,06:05:00.000,iberia,ib,6012,ib6012,2022-07-01
4s,06:05:00.000,british airways,ba,4252,ba4252,2022-07-01
4s,06:05:00.000,qatar airways,qr,6919,qr6919,2022-07-01
4s,06:05:00.000,jal,jl,6997,jl6997,2022-07-01
4s,06:05:00.000,iberia,ib,6856,ib6856,2022-07-01
4,06:10:00.000,sa avianca,av,6013,av6013,2022-07-01
4,06:10:00.000,binter canarias,nt,7839,nt7839,2022-07-01
4,06:10:00.000,vueling,vy,5415,vy5415,2022-07-01
4,06:10:00.000,iberia express,i2,3839,i23839,2022-07-01
4s,06:20:00.000,finnair,ay,5658,ay5658,2022-07-01
4s,06:20:00.000,british airways,ba,4278,ba4278,2022-07-01
4s,06:20:00.000,qatar airways,qr,7233,qr7233,2022-07-01
4s,06:20:00.000,american airlines,aa,8730,aa8730,2022-07-01
4s,06:20:00.000,iberia,ib,6132,ib6132,2022-07-01
4s,06:20:00.000,american airlines,aa,8535,aa8535,2022-07-01
4s,06:20:00.000,british airways,ba,4264,ba4264,2022-07-01
4s,06:20:00.000,finnair,ay,5648,ay5648,2022-07-01
4s,06:20:00.000,qatar airways,qr,6887,qr6887,2022-07-01
4s,06:20:00.000,iberia,ib,6166,ib6166,2022-07-01
4s,06:25:00.000,british airways,ba,4270,ba4270,2022-07-01
4s,06:25:00.000,finnair,ay,5654,ay5654,2022-07-01
4s,06:25:00.000,qatar airways,qr,6902,qr6902,2022-07-01
4s,06:25:00.000,american airlines,aa,8566,aa8566,2022-07-01
4s,06:25:00.000,iberia,ib,6250,ib6250,2022-07-01
